sort name,data type,size,time
Selection Sort,Small_range sorted,100,0.000009
Heap Sort,Small_range sorted,100,0.000005
Radix Sort,Small_range sorted,100,0.000004
Merge Sort,Small_range sorted,500,0.000158
Quick Sort,Small_range sorted,500,0.000019
Bubble Sort,Small_range sorted,500,0.000239
Insertion Sort,Small_range sorted,500,0.000058
Selection Sort,Small_range sorted,500,0.000237
Heap Sort,Small_range sorted,500,0.000028
Radix Sort,Small_range sorted,500,0.000015
Merge Sort,Small_range sorted,1000,0.000151
Quick Sort,Small_range sorted,1000,0.000031
Bubble Sort,Small_range sorted,1000,0.000659
Insertion Sort,Small_range sorted,1000,0.000110
Selection Sort,Small_range sorted,1000,0.000284
Heap Sort,Small_range sorted,1000,0.000059
Radix Sort,Small_range sorted,1000,0.000025
Merge Sort,Small_range sorted,5000,0.000772
Quick Sort,Small_range sorted,5000,0.000267
Bubble Sort,Small_range sorted,5000,0.017992
Insertion Sort,Small_range sorted,5000,0.002789
Selection Sort,Small_range sorted,5000,0.007432
Heap Sort,Small_range sorted,5000,0.000300
Radix Sort,Small_range sorted,5000,0.000120
Merge Sort,Small_range sorted,10000,0.001558
Quick Sort,Small_range sorted,10000,0.000785
Bubble Sort,Small_range sorted,10000,0.090380
Insertion Sort,Small_range sorted,10000,0.012113
Selection Sort,Small_range sorted,10000,0.032038
Heap Sort,Small_range sorted,10000,0.000653
Radix Sort,Small_range sorted,10000,0.000261
Merge Sort,Small_range sorted,50000,0.008629
Quick Sort,Small_range sorted,50000,0.017909
Bubble Sort,Small_range sorted,50000,3.339333
Insertion Sort,Small_range sorted,50000,0.291275
Selection Sort,Small_range sorted,50000,0.777810
Heap Sort,Small_range sorted,50000,0.003512
Radix Sort,Small_range sorted,50000,0.001418
Merge Sort,Small_range sorted,100000,0.017277
Quick Sort,Small_range sorted,100000,0.068730
Bubble Sort,Small_range sorted,100000,13.464470
Insertion Sort,Small_range sorted,100000,1.165260
Selection Sort,Small_range sorted,100000,3.025429
Heap Sort,Small_range sorted,100000,0.006967
Radix Sort,Small_range sorted,100000,0.002342
Merge Sort,Small_range sorted,500000,0.087988
Quick Sort,Small_range sorted,500000,1.596920
Bubble Sort,Small_range sorted,500000,335.630265
Insertion Sort,Small_range sorted,500000,28.919076
Selection Sort,Small_range sorted,500000,68.877804
Heap Sort,Small_range sorted,500000,0.034868
Radix Sort,Small_range sorted,500000,0.012564
Merge Sort,Small_range sorted,1000000,0.161190
Quick Sort,Small_range sorted,1000000,6.179768
Bubble Sort,Small_range sorted,1000000,1246.372682
Insertion Sort,Small_range sorted,1000000,106.819939
Selection Sort,Small_range sorted,1000000,249.254166
Heap Sort,Small_range sorted,1000000,0.070593
Radix Sort,Small_range sorted,1000000,0.025251